:cityname (?:"?(?<current>.*?)"?),(?<remains>.*) string
:statefips (?:"?(?<current>.*?)"?),(?<remains>.*) string
:statename (?:"?(?<current>.*?)"?),(?<remains>.*) string
:statecity (?:"?(?<current>.*?)"?),(?<remains>.*) string
:type (?:"?(?<current>.*?)"?),(?<remains>.*) string
:is_capital (?:"?(?<current>[nNyYfFtT])"?),(?<remains>.*) string
:sdo_gtype (?<current>^[0-9]*),(?<remains>.*) int
:sdo_srid (?<current>^[0-9]*),(?<remains>.*) int
:sdo_element_info_array (?<current>.*?)(?:,/(?<remains>.*))|(?<all>^.*$) clob /
:sdo_ordinate_array (?<current>.*?)(?:,/(?<remains>.*))|(?<all>^.*$) clob /
!enddescription
!data
 60,"28790","Hibbing","27","Minnesota","2728790","city","N",2001,8265,1,1,1,/-92.948143021853,47.3999786285418,/
 61,"17635","Des Moines","53","Washington","5317635","city","N",2001,8265,1,1,1,/-122.309501667342,47.395500181347,/
 62,"35415","Kent","53","Washington","5335415","city","N",2001,8265,1,1,1,/-122.238502485559,47.3942985618708,/
 63,"19515","East Hill-Meridian","53","Washington","5319515","census designated place","N",2001,8265,1,1,1,/-122.171997077862,47.3898010441473,/
 64,"15303","Covington-Sawyer-Wilderness","53","Washington","5315303","census designated place","N",2001,8265,1,1,1,/-122.073097228192,47.3528099000841,/
 65,"37420","Lakeland North","53","Washington","5337420","census designated place","N",2001,8265,1,1,1,/-122.277999884664,47.3292007617851,/
 66,"23515","Federal Way","53","Washington","5323515","census designated place","N",2001,8265,1,1,1,/-122.340797417843,47.3118705840338,/
 67,"03180","Auburn","53","Washington","5303180","city","N",2001,8265,1,1,1,/-122.211799605425,47.2989997829488,/
 68,"70000","Tacoma","53","Washington","5370000","city","N",2001,8265,1,1,1,/-122.45980073175,47.2519989015688,/
 69,"73465","University Place","53","Washington","5373465","census designated place","N",2001,8265,1,1,1,/-122.542396556665,47.2191009624046,/
 70,"56695","Puyallup","53","Washington","5356695","city","N",2001,8265,1,1,1,/-122.284202563097,47.1819496347093,/
 71,"38038","Lakewood","53","Washington","5338038","census designated place","N",2001,8265,1,1,1,/-122.530197143891,47.1618499581528,/
 72,"65922","South Hill","53","Washington","5365922","census designated place","N",2001,8265,1,1,1,/-122.268997185771,47.1412506161286,/
 73,"53335","Parkland","53","Washington","5353335","census designated place","N",2001,8265,1,1,1,/-122.429298412135,47.1378517017924,/
 74,"47245","Moses Lake","53","Washington","5347245","city","N",2001,8265,1,1,1,/-119.286201476388,47.1156692416333,/
 75,"66255","Spanaway","53","Washington","5366255","census designated place","N",2001,8265,1,1,1,/-122.426498391676,47.1062088060102,/
 76,"24915","Fort Lewis","53","Washington","5324915","census designated place","N",2001,8265,1,1,1,/-122.58190153113,47.1061286921728,/
 77,"21205","Elk Plain","53","Washington","5321205","census designated place","N",2001,8265,1,1,1,/-122.377998337721,47.0533485597557,/
 78,"51300","Olympia","53","Washington","5351300","city","Y",2001,8265,1,1,1,/-122.893798838064,47.0419197196592,/
 79,"36745","Lacey","53","Washington","5336745","city","N",2001,8265,1,1,1,/-122.805801385005,47.0330505585098,/
 80,"21240","Ellensburg","53","Washington","5321240","city","N",2001,8265,1,1,1,/-120.547996530303,46.9971504424738,/
 81,"00100","Aberdeen","53","Washington","5300100","city","N",2001,8265,1,1,1,/-123.80840302633,46.9770202442629,/
 82,"40580","Jamestown","38","North Dakota","3840580","city","N",2001,8265,1,1,1,/-98.69821932123,46.9101180991015,/
 83,"19620","Dickinson","38","North Dakota","3819620","city","N",2001,8265,1,1,1,/-102.782699563449,46.8861083916153,/
 84,"25700","Fargo","38","North Dakota","3825700","city","N",2001,8265,1,1,1,/-96.8171234275326,46.8766288854635,/
 85,"84780","West Fargo","38","North Dakota","3884780","city","N",2001,8265,1,1,1,/-96.8970413186053,46.8728485165115,/
 86,"50200","Missoula","30","Montana","3050200","city","N",2001,8265,1,1,1,/-114.007598898093,46.8687515239325,/
 87,"43864","Moorhead","27","Minnesota","2743864","city","N",2001,8265,1,1,1,/-96.75570676799,46.8645897003646,/
 88,"55675","Orchard Homes","30","Montana","3055675","census designated place","N",2001,8265,1,1,1,/-114.06639862306,46.8599014333118,/
 89,"49900","Mandan","38","North Dakota","3849900","city","N",2001,8265,1,1,1,/-100.887802112357,46.829349521514,/
 90,"07200","Bismarck","38","North Dakota","3807200","city","Y",2001,8265,1,1,1,/-100.767303457599,46.8054695200482,/
 1,"16750","College","02","Alaska","0216750","census designated place","N",2001,8265,1,1,1,/-147.82339476668,64.8695373683904,/
 2,"24230","Fairbanks","02","Alaska","0224230","city","N",2001,8265,1,1,1,/-147.649002093268,64.8370895465537,/
 3,"03000","Anchorage","02","Alaska","0203000","city","N",2001,8265,1,1,1,/-149.186401388297,61.1783714086674,/
